Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	9.235	10.184	11.133	12.201	13.407	14.773	16.326	18.100	19.874
1	9.147	10.121	11.095	12.182	13.398	14.760	16.290	18.012	19.733
2	9.056	10.056	11.056	12.162	13.388	14.747	16.254	17.927	19.599
3	8.961	9.988	11.015	12.143	13.379	14.734	16.219	17.845	19.472
4	8.861	9.918	10.974	12.123	13.370	14.721	16.185	17.767	19.349
5	8.757	9.844	10.932	12.103	13.361	14.709	16.151	17.691	19.231
6	8.647	9.768	10.889	12.083	13.351	14.696	16.118	17.618	19.118
7	8.531	9.688	10.844	12.062	13.342	14.683	16.085	17.547	19.009
8	8.594	9.744	10.895	12.108	13.384	14.723	16.125	17.588	19.052
9	8.657	9.801	10.946	12.154	13.426	14.763	16.164	17.629	19.094
10	8.719	9.858	10.996	12.200	13.469	14.803	16.203	17.670	19.136
11	8.782	9.914	11.047	12.246	13.511	14.843	16.243	17.710	19.177
12	8.844	9.971	11.098	12.292	13.553	14.883	16.282	17.750	19.219
13	8.906	10.027	11.149	12.338	13.595	14.923	16.321	17.790	19.260
14	8.969	10.084	11.200	12.384	13.638	14.963	16.360	17.830	19.300
15	9.047	10.162	11.277	12.462	13.717	15.045	16.447	17.923	19.399
16	9.126	10.241	11.357	12.543	13.801	15.132	16.539	18.021	19.504
17	9.205	10.321	11.437	12.625	13.885	15.221	16.633	18.123	19.612
18	9.283	10.400	11.517	12.707	13.971	15.310	16.728	18.225	19.721
19	9.360	10.479	11.597	12.789	14.056	15.400	16.823	18.327	19.831
20	9.436	10.556	11.676	12.870	14.140	15.489	16.918	18.429	19.940
21	9.511	10.632	11.754	12.951	14.224	15.577	17.012	18.530	20.049
22	9.584	10.707	11.831	13.030	14.306	15.664	17.104	18.630	20.156
23	9.656	10.781	11.906	13.107	14.388	15.750	17.196	18.729	20.262
24	9.726	10.853	11.980	13.184	14.468	15.834	17.286	18.825	20.365
25	9.795	10.923	12.052	13.258	14.546	15.917	17.374	18.921	20.468
26	9.862	10.992	12.123	13.332	14.622	15.998	17.461	19.014	20.568
27	9.927	11.060	12.192	13.404	14.698	16.077	17.546	19.106	20.667
28	9.992	11.126	12.260	13.474	14.771	16.155	17.629	19.196	20.763
29	10.054	11.190	12.326	13.543	14.844	16.232	17.711	19.284	20.858
30	10.116	11.253	12.391	13.610	14.914	16.306	17.791	19.371	20.951
31	10.175	11.315	12.454	13.675	14.982	16.378	17.868	19.454	21.040
32	10.233	11.374	12.515	13.739	15.048	16.449	17.943	19.535	21.128
33	10.289	11.431	12.574	13.800	15.113	16.517	18.016	19.614	21.212
34	10.343	11.487	12.631	13.859	15.175	16.583	18.086	19.690	21.294
