Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	9.154	10.122	11.091	12.159	13.336	14.636	16.071	17.657	19.242
1	9.049	10.043	11.038	12.127	13.318	14.623	16.050	17.611	19.172
2	8.941	9.962	10.983	12.094	13.301	14.610	16.029	17.566	19.102
3	8.829	9.879	10.928	12.062	13.283	14.596	16.007	17.520	19.032
4	8.712	9.792	10.872	12.029	13.265	14.583	15.985	17.474	18.964
5	8.590	9.702	10.815	11.996	13.247	14.569	15.963	17.429	18.895
6	8.463	9.609	10.756	11.963	13.229	14.555	15.940	17.384	18.827
7	8.330	9.513	10.696	11.929	13.211	14.541	15.917	17.339	18.760
8	8.376	9.554	10.733	11.964	13.246	14.577	15.957	17.385	18.813
9	8.422	9.596	10.770	11.998	13.280	14.613	15.997	17.431	18.866
10	8.468	9.637	10.807	12.033	13.314	14.649	16.037	17.477	18.918
11	8.513	9.678	10.844	12.067	13.348	14.684	16.077	17.524	18.971
12	8.559	9.720	10.881	12.102	13.382	14.720	16.116	17.570	19.024
13	8.604	9.761	10.918	12.137	13.416	14.756	16.156	17.617	19.077
14	8.650	9.802	10.955	12.171	13.450	14.792	16.196	17.663	19.129
15	8.710	9.863	11.017	12.235	13.517	14.864	16.276	17.752	19.228
16	8.772	9.927	11.081	12.301	13.587	14.940	16.359	17.845	19.331
17	8.835	9.990	11.146	12.369	13.660	15.018	16.445	17.941	19.437
18	8.897	10.054	11.212	12.437	13.732	15.097	16.532	18.038	19.544
19	8.959	10.118	11.277	12.506	13.806	15.177	16.620	18.135	19.651
20	9.020	10.181	11.342	12.574	13.878	15.256	16.707	18.232	19.758
21	9.080	10.243	11.406	12.642	13.950	15.334	16.792	18.328	19.863
22	9.139	10.305	11.470	12.708	14.022	15.411	16.877	18.422	19.967
23	9.197	10.365	11.532	12.774	14.092	15.487	16.961	18.515	20.069
24	9.254	10.423	11.593	12.838	14.160	15.561	17.043	18.607	20.170
25	9.310	10.481	11.653	12.901	14.228	15.635	17.123	18.696	20.268
26	9.364	10.538	11.711	12.963	14.294	15.706	17.202	18.783	20.364
27	9.417	10.593	11.768	13.023	14.358	15.776	17.279	18.869	20.459
28	9.469	10.646	11.824	13.081	14.421	15.844	17.354	18.953	20.551
29	9.519	10.699	11.879	13.139	14.482	15.911	17.428	19.034	20.641
30	9.569	10.750	11.932	13.195	14.542	15.976	17.499	19.114	20.728
31	9.617	10.800	11.983	13.249	14.600	16.039	17.568	19.191	20.813
32	9.663	10.848	12.033	13.302	14.657	16.100	17.636	19.266	20.896
33	9.708	10.895	12.082	13.353	14.711	16.159	17.701	19.338	20.976
34	9.752	10.941	12.129	13.403	14.764	16.217	17.764	19.409	21.053
35	9.795	10.985	12.175	13.451	14.816	16.273	17.826	19.477	21.129
36	9.836	11.028	12.220	13.498	14.866	16.327	17.885	19.544	21.203
37	9.877	11.070	12.263	13.543	14.914	16.380	17.943	19.609	21.274
38	9.916	11.111	12.305	13.587	14.961	16.431	18.000	19.672	21.343
39	9.955	11.150	12.346	13.630	15.007	16.481	18.054	19.733	21.411
40	9.992	11.189	12.386	13.672	15.052	16.529	18.108	19.792	21.476
41	10.029	11.227	12.425	13.713	15.096	16.576	18.160	19.850	21.540
42	10.065	11.264	12.463	13.753	15.138	16.622	18.210	19.906	21.602
43	10.100	11.300	12.500	13.792	15.179	16.667	18.260	19.962	21.664
44	10.134	11.335	12.536	13.830	15.220	16.711	18.308	20.016	21.723
45	10.167	11.369	12.572	13.867	15.259	16.754	18.355	20.068	21.781
46	10.199	11.403	12.606	13.903	15.297	16.795	18.400	20.119	21.837
47	10.231	11.435	12.640	13.938	15.335	16.835	18.445	20.169	21.892
48	10.262	11.467	12.672	13.972	15.371	16.874	18.488	20.217	21.945
49	10.292	11.498	12.704	14.005	15.406	16.913	18.530	20.264	21.998
50	10.322	11.529	12.735	14.038	15.441	16.950	18.571	20.310	22.049
51	10.351	11.558	12.766	14.069	15.474	16.987	18.611	20.355	22.099
52	10.379	11.587	12.795	14.100	15.507	17.022	18.651	20.399	22.147
53	10.406	11.615	12.824	14.130	15.539	17.057	18.689	20.442	22.195
54	10.434	11.643	12.853	14.160	15.571	17.091	18.726	20.483	22.241
55	10.460	11.670	12.881	14.189	15.601	17.124	18.762	20.524	22.286
56	10.486	11.697	12.908	14.217	15.631	17.156	18.798	20.564	22.330
57	10.512	11.723	12.934	14.245	15.660	17.188	18.833	20.603	22.374
58	10.536	11.748	12.960	14.272	15.689	17.219	18.867	20.642	22.417
59	10.561	11.773	12.986	14.298	15.717	17.249	18.901	20.679	22.458
60	10.585	11.798	13.011	14.324	15.744	17.278	18.933	20.716	22.498
61	10.608	11.822	13.035	14.349	15.771	17.308	18.965	20.752	22.539
62	10.632	11.845	13.059	14.374	15.798	17.336	18.996	20.787	22.578
63	10.655	11.869	13.083	14.399	15.823	17.363	19.027	20.821	22.615
64	10.676	11.891	13.106	14.422	15.848	17.391	19.057	20.855	22.653
65	10.698	11.913	13.128	14.446	15.873	17.417	19.086	20.888	22.690
66	10.720	11.935	13.150	14.468	15.897	17.443	19.114	20.920	22.725
67	10.740	11.956	13.171	14.490	15.920	17.468	19.142	20.951	22.760
68	10.761	11.977	13.192	14.512	15.943	17.493	19.170	20.982	22.794
69	10.781	11.997	13.213	14.533	15.966	17.517	19.196	21.012	22.828
70	10.800	12.017	13.233	14.554	15.987	17.541	19.223	21.042	22.861
71	10.820	12.036	13.253	14.574	16.009	17.564	19.248	21.070	22.892
72	10.839	12.055	13.272	14.594	16.030	17.586	19.273	21.098	22.924
73	10.857	12.074	13.291	14.614	16.050	17.608	19.297	21.126	22.954
74	10.875	12.093	13.310	14.633	16.070	17.630	19.321	21.153	22.984
75	10.893	12.110	13.328	14.651	16.090	17.651	19.344	21.179	23.013
76	10.911	12.128	13.346	14.670	16.109	17.672	19.367	21.204	23.042
77	10.928	12.146	13.363	14.688	16.128	17.692	19.389	21.230	23.070
78	10.945	12.163	13.380	14.705	16.146	17.711	19.411	21.254	23.097
79	10.961	12.179	13.397	14.722	16.164	17.731	19.432	21.279	23.125
80	10.978	12.196	13.413	14.739	16.182	17.750	19.453	21.302	23.151
81	10.994	12.212	13.430	14.756	16.199	17.768	19.474	21.325	23.177
82	11.010	12.227	13.445	14.772	16.216	17.787	19.494	21.348	23.203
83	11.025	12.243	13.461	14.788	16.232	17.804	19.513	21.370	23.227
84	11.040	12.258	13.476	14.803	16.248	17.822	19.533	21.392	23.252
85	11.055	12.273	13.491	14.818	16.264	17.839	19.551	21.413	23.275
86	11.070	12.288	13.505	14.833	16.280	17.855	19.570	21.435	23.299
87	11.084	12.302	13.520	14.848	16.295	17.872	19.588	21.455	23.322
88	11.098	12.316	13.534	14.862	16.310	17.888	19.606	21.475	23.344
89	11.112	12.330	13.547	14.876	16.325	17.903	19.623	21.495	23.367
90	11.126	12.344	13.561	14.890	16.339	17.919	19.640	21.514	23.388
91	11.140	12.357	13.574	14.903	16.353	17.934	19.657	21.533	23.409
92	11.153	12.370	13.587	14.917	16.367	17.949	19.673	21.552	23.430
93	11.165	12.383	13.600	14.929	16.380	17.963	19.689	21.570	23.451
94	11.179	12.396	13.613	14.942	16.394	17.977	19.704	21.587	23.470
95	11.191	12.408	13.625	14.955	16.406	17.991	19.720	21.605	23.490
96	11.204	12.420	13.637	14.967	16.419	18.005	19.735	21.622	23.510
97	11.216	12.432	13.649	14.979	16.432	18.018	19.749	21.639	23.528
98	11.227	12.444	13.661	14.991	16.444	18.031	19.764	21.655	23.547
99	11.239	12.456	13.672	15.002	16.456	18.044	19.778	21.672	23.565
100	11.251	12.467	13.683	15.013	16.467	18.056	19.792	21.687	23.583
101	11.262	12.478	13.694	15.025	16.479	18.068	19.805	21.703	23.600
102	11.273	12.489	13.705	15.035	16.490	18.080	19.819	21.718	23.617
103	11.284	12.500	13.716	15.046	16.501	18.092	19.831	21.733	23.634
104	11.295	12.511	13.726	15.056	16.512	18.103	19.844	21.747	23.651
105	11.306	12.521	13.736	15.067	16.522	18.115	19.857	21.761	23.666
106	11.316	12.531	13.746	15.077	16.532	18.126	19.869	21.775	23.682
107	11.327	12.541	13.756	15.086	16.543	18.136	19.881	21.789	23.697
108	11.337	12.551	13.766	15.096	16.552	18.147	19.892	21.802	23.712
109	11.346	12.561	13.775	15.105	16.562	18.157	19.904	21.816	23.728
110	11.356	12.570	13.785	15.115	16.572	18.167	19.915	21.829	23.743
111	11.366	12.580	13.794	15.124	16.581	18.177	19.926	21.841	23.757
112	11.376	12.589	13.803	15.133	16.590	18.187	19.937	21.853	23.770
113	11.385	12.598	13.812	15.142	16.599	18.196	19.947	21.865	23.784
114	11.394	12.607	13.820	15.150	16.608	18.206	19.958	21.878	23.798
